timestamp,raw_price,filtered_price,z_score,label
1,4815.7001953125,,,NaN
1,4815.39990234375,,,NaN
1,4813.0,,,NaN
1,4813.2998046875,,,NaN
1,4812.89990234375,,,NaN
1,4814.2001953125,,,NaN
1,4813.2998046875,,,NaN
1,4811.7001953125,,,NaN
1,4811.0,,,NaN
1,4810.7998046875,4813.12998046875,-1.3969257760383553,NORMAL
1,4810.2001953125,4812.57998046875,-1.457470330160362,NORMAL
1,4811.10009765625,4812.15,-0.7781410438403202,NORMAL
1,4811.2998046875,4811.97998046875,-0.5086176695381965,NORMAL
1,4811.60009765625,4811.810009765625,-0.1670624350449207,NORMAL
1,4810.0,4811.52001953125,-1.1598957482988597,NORMAL
1,4810.7998046875,4811.17998046875,-0.4127550520088511,NORMAL
1,4808.60009765625,4810.710009765625,-2.297741756843395,CRASH
1,4807.7998046875,4810.319970703125,-2.053433675750244,CRASH
1,4808.2998046875,4810.049951171875,-1.294698145341628,NORMAL
1,4807.7001953125,4809.739990234375,-1.353392948345806,NORMAL
1,4806.2998046875,4809.349951171875,-1.6556392233108133,CRASH
1,4810.5,4809.28994140625,0.6768022918824756,NORMAL
1,4808.89990234375,4809.049951171875,-0.09130537906490888,NORMAL
1,4807.5,4808.63994140625,-0.7945754801954125,NORMAL
1,4807.7998046875,4808.419921875,-0.4525868339342642,NORMAL
1,4809.7998046875,4808.319921875,1.2296202348383098,NORMAL
1,4807.0,4808.159912109375,-0.9155936479665625,NORMAL
1,4805.5,4807.929931640625,-1.5960724701741367,CRASH
1,4807.5,4807.849951171875,-0.22994921256231493,NORMAL
1,4806.10009765625,4807.68994140625,-0.9812078904350973,NORMAL
1,4808.2001953125,4807.87998046875,0.20672239281229401,NORMAL
1,4812.2001953125,4808.05,2.1639110563516666,SPIKE
1,4814.0,4808.560009765625,2.021374708919022,SPIKE
1,4813.89990234375,4809.2,1.4989549683670726,NORMAL
1,4815.10009765625,4809.930029296875,1.4400817444486917,NORMAL
