timestamp,raw_price,filtered_price,z_score,label
1,76287.65625,76382.09375,-1.654744641,CRASH
1,76412.02344,76324.18203,2.159434498826021,SPIKE
1,76221.46094,76341.75781,-2.133543261,CRASH
1,76213.96094,76327.18594,-1.552451184,CRASH
1,76175.47656,76311.01797,-1.557325917,CRASH
1,76308.0,76238.025,1.892872203674682,SPIKE
1,76321.77344,76250.88203,1.5815323715149971,SPIKE
1,76827.95313,76346.86719,2.7996271040772025,SPIKE
1,76756.59375,76396.07031,1.7044739504109894,SPIKE
1,77101.21094,76483.12109,2.0773608051714803,SPIKE
1,77343.97656,77214.16016,1.922432109019526,SPIKE
1,77502.14844,77249.87266,2.3197364632669624,SPIKE
1,77626.00781,77288.97344,2.0973336516936256,SPIKE
1,77618.35938,77336.23359,1.5502880091761675,SPIKE
1,77595.92969,77500.43203,1.7920605677420345,SPIKE
1,77504.0625,77572.57266,-1.866394666,CRASH
1,77469.89844,77565.13438,-1.956944595,CRASH
1,77385.99219,77544.3125,-2.162803145,CRASH
1,77646.03906,77508.79766,2.02102989152094,SPIKE
1,77911.07031,77562.29063,2.733610314051548,SPIKE
1,77933.70313,77602.20313,1.9219026871659168,SPIKE
1,78153.13281,77665.64141,2.0201854733403968,SPIKE
1,78276.00781,77745.69844,1.7827789164837056,SPIKE
1,78041.79688,78166.58984,-1.510692817,CRASH
1,77988.0,78150.07656,-1.617168869,CRASH
1,78018.20313,77980.93828,1.7926567218903031,SPIKE
1,78024.40625,77984.57266,1.7092654808895116,SPIKE
1,78041.90625,77996.56328,1.5543859857185032,SPIKE
1,78114.1875,78024.15625,2.262888650164886,SPIKE
1,77916.09375,78019.27422,-2.015882178,CRASH
1,77906.79688,78011.94688,-1.706873555,CRASH
1,77854.46875,77998.74063,-1.819827734,CRASH
1,78069.84375,77942.0,1.959036122150401,SPIKE
1,78102.71094,77949.13516,1.952833392151785,SPIKE
1,78126.0,78021.58438,1.5151887262636916,SPIKE
1,78161.96094,78076.86563,1.562105716809856,SPIKE
1,77980.0,78114.51797,-2.459361111,CRASH
1,78073.96875,78009.73438,1.6193511439701824,SPIKE
1,78107.1875,78045.54766,2.1004197126127,SPIKE
1,78171.96094,78059.775,2.297683090157955,SPIKE
1,78174.35156,78075.96641,1.712064719707966,SPIKE
1,78018.29688,78126.59297,-2.275976638,CRASH
1,78012.46094,78117.12031,-1.751667408,CRASH
1,78089.85938,78029.46719,2.072879198285721,SPIKE
1,78146.4375,78043.69531,2.2566105900390703,SPIKE
1,78185.0,78061.69453,2.009497489906908,SPIKE
1,78284.85938,78165.78984,2.381955033,SPIKE
1,78291.75,78176.46484,1.8017530718437795,SPIKE
1,78336.03125,78249.4,1.7806312669638396,SPIKE
1,78322.54688,78280.12734,1.5908692152318158,SPIKE
1,78350.0625,78284.78984,1.9083475505434144,SPIKE
1,78412.95313,78302.57422,2.030876203459388,SPIKE
