timestamp,raw_price,filtered_price,z_score,label
1,76349.78125,,,NaN
1,76391.0625,,,NaN
1,76475.0,,,NaN
1,76399.9921875,,,NaN
1,76435.921875,,,NaN
1,76355.6328125,,,NaN
1,76437.25,,,NaN
1,76364.6328125,,,NaN
1,76324.0078125,,,NaN
1,76287.65625,76382.09375,-1.6547446413958982,CRASH
1,76305.2421875,76377.63984375,-1.178287386742298,NORMAL
1,76277.84375,76366.31796875,-1.2878745103319242,NORMAL
1,76324.0,76351.21796875,-0.47007182253901253,NORMAL
1,76316.078125,76342.8265625,-0.4767965188434045,NORMAL
1,76349.78125,76334.2125,0.33915685455469036,NORMAL
1,76341.3984375,76332.7890625,0.18970065313813234,NORMAL
1,76272.078125,76316.271875,-1.4310817613654156,NORMAL
1,76290.7734375,76308.8859375,-0.6819523333364298,NORMAL
1,76320.6875,76308.55390625,0.46013216455143996,NORMAL
1,76337.15625,76313.50390625,0.887333511867907,NORMAL
1,76412.0234375,76324.18203125,2.1594344988260215,SPIKE
1,76375.59375,76333.95703125,1.0397382611717512,NORMAL
1,76362.8203125,76337.8390625,0.6115882761635963,NORMAL
1,76327.9921875,76339.03046875,-0.27382447950939964,NORMAL
1,76403.2578125,76344.378125,1.3040171783247176,NORMAL
1,76365.8125,76346.81953125,0.41622926048821385,NORMAL
1,76221.4609375,76341.7578125,-2.133543260846485,CRASH
1,76251.78125,76337.85859375,-1.4013598354256844,NORMAL
1,76213.9609375,76327.1859375,-1.5524511836048531,CRASH
1,76175.4765625,76311.01796875,-1.5573259165692843,CRASH
1,76203.84375,76290.2,-1.0151701720501025,NORMAL
1,76222.96875,76274.9375,-0.6363562655207412,NORMAL
1,76258.2265625,76264.478125,-0.08265419486339969,NORMAL
1,76250.7265625,76256.7515625,-0.0833346210288397,NORMAL
1,76264.5625,76242.88203125,0.42233391362550304,NORMAL
1,76230.703125,76229.37109375,0.04800855468675176,NORMAL
1,76308.0,76238.025,1.8928722036746821,SPIKE
1,76272.5390625,76240.10078125,0.8451511201221831,NORMAL
1,76321.7734375,76250.88203125,1.5815323715149971,SPIKE
1,76316.7890625,76265.01328125,1.2792072079872243,NORMAL
1,76302.78125,76274.90703125,0.7814928037012442,NORMAL
1,76288.6328125,76281.4734375,0.23283376804812797,NORMAL
1,76334.9375,76289.14453125,1.357662907153783,NORMAL
1,76827.953125,76346.8671875,2.7996271040772025,SPIKE
1,76756.59375,76396.0703125,1.7044739504109894,SPIKE
1,77101.2109375,76483.12109375,2.0773608051714803,SPIKE
1,76967.6015625,76549.08125,1.283259973114587,NORMAL
1,76925.3984375,76614.3671875,0.9426571503023486,NORMAL
1,77145.0234375,76696.6921875,1.2777496695048032,NORMAL
1,77235.0,76788.51328125,1.2387754322309712,NORMAL
1,77145.7578125,76872.8109375,0.8230537557641142,NORMAL
1,77217.03125,76965.65078125,0.9139801605767133,NORMAL
1,77123.0078125,77044.4578125,0.4754293630004019,NORMAL
1,77179.4375,77079.60625,0.6620086175258365,NORMAL
1,77270.4765625,77130.99453125,1.2596369521694726,NORMAL
1,77231.8671875,77144.06015625,0.7670591997133157,NORMAL
1,77250.0234375,77172.30234375,0.7769971266975567,NORMAL
1,77343.9765625,77214.16015625,1.922432109019526,SPIKE
1,77502.1484375,77249.87265625,2.3197364632669624,SPIKE
1,77626.0078125,77288.9734375,2.0973336516936256,SPIKE
1,77618.359375,77336.23359375,1.5502880091761675,SPIKE
1,77632.0078125,77377.73125,1.281908564902845,NORMAL
1,77587.578125,77424.18828125,0.8779925226060565,NORMAL
1,77661.5234375,77472.396875,1.0630498036237461,NORMAL
1,77629.7265625,77508.321875,0.7199247976678959,NORMAL
1,77494.2578125,77534.5609375,-0.2908406169856519,NORMAL
1,77455.15625,77555.07421875,-0.9778877914505945,NORMAL
1,77480.9921875,77568.77578125,-1.1438097290795122,NORMAL
1,77572.703125,77575.83125,-0.04279400757017922,NORMAL
1,77543.5703125,77567.5875,-0.3361893302359981,NORMAL
